id,student_id,pilot_school_id,assessment_type,subject,level,notes,assessed_date,added_by_id,is_temporary,assessed_by_mentor,mentor_assessment_id,created_at,updated_at,created_by_role,record_status,test_session_id,assessment_sample,student_consent,verified_by_id,verified_at,verification_notes,is_locked,locked_by_id,locked_at
16,22,23,baseline,language,comprehension2,,2025-10-05 00:00:00,98,false,false,,2025-10-05 08:58:04.317,2025-11-15 16:05:19.677,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
12,26,23,baseline,language,story,Mr.Vibol,2025-10-05 00:00:00,98,false,false,,2025-10-05 07:59:36.645,2025-11-15 16:05:28.804,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
13,25,23,baseline,language,comprehension2,Mr.Vibol,2025-10-05 00:00:00,98,false,false,,2025-10-05 08:03:54.86,2025-11-15 16:05:37.342,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
14,24,23,baseline,language,comprehension2,Mr.Vibol,2025-10-05 00:00:00,98,false,false,,2025-10-05 08:04:30.694,2025-11-15 16:06:06.877,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
15,23,23,baseline,language,comprehension2,Mr.Vibol,2025-10-05 00:00:00,98,false,false,,2025-10-05 08:05:08.877,2025-11-15 16:06:15.473,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
20,18,23,baseline,language,comprehension2,,2025-10-05 00:00:00,98,false,false,,2025-10-05 09:03:34.693,2025-11-15 16:06:25.032,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,No,,,,false,,
18,20,23,baseline,language,paragraph,,2025-10-05 00:00:00,98,false,false,,2025-10-05 08:59:38.084,2025-11-15 16:06:33.952,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
11,27,23,baseline,language,story,Mr.Vibol,2025-10-05 00:00:00,98,false,false,,2025-10-05 07:57:45.308,2025-11-15 16:06:54.361,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
10,17,25,baseline,language,word,រួចហើយ,2025-10-05 07:36:19.147,69,false,false,,2025-10-05 07:37:24.063,2025-11-15 16:10:31.052,teacher,archived,,,,,,,false,,
17,21,23,baseline,language,comprehension2,,2025-10-05 00:00:00,98,false,false,,2025-10-05 08:59:01.432,2025-11-15 16:10:59.695,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
19,19,23,baseline,language,comprehension2,,2025-10-05 00:00:00,98,false,false,,2025-10-05 09:03:02.576,2025-11-15 16:11:12.567,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
479,398,25,baseline,language,story,,2025-11-16 17:00:00,69,false,false,,2025-11-01 06:53:14.958,2025-11-15 16:04:25.593,teacher,archived,,ឧបករណ៍តេស្ត លេខ២,Yes,,,,false,,
478,399,25,baseline,language,word,,2025-11-16 17:00:00,69,false,false,,2025-11-01 06:51:41.725,2025-11-15 16:04:40.995,teacher,archived,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
480,399,25,midline,language,paragraph,,2025-12-30 17:00:00,69,false,false,,2025-11-01 06:56:49.711,2025-11-15 16:04:40.995,teacher,archived,,ឧបករណ៍តេស្ត លេខ២,Yes,,,,false,,
481,399,25,endline,language,comprehension1,,2026-02-01 17:00:00,69,false,false,,2025-11-01 06:59:17.465,2025-11-15 16:04:40.995,teacher,archived,,ឧបករណ៍តេស្ត លេខ៣,Yes,,,,false,,
449,27,23,endline,language,story,,2025-10-09 17:00:00,98,false,false,,2025-10-17 03:19:40.521,2025-11-15 16:10:46.051,teacher,archived,,ឧបករណ៍តេស្ត លេខ៣,Yes,,,,false,,
486,407,21,midline,language,story,,2025-12-30 17:00:00,66,false,false,,2025-11-01 07:34:35.311,2025-11-01 07:34:35.311,teacher,production,,ឧបករណ៍តេស្ត លេខ៣,Yes,,,,false,,
487,409,25,baseline,language,story,,2025-11-16 17:00:00,69,false,false,,2025-11-01 07:37:10.595,2025-11-01 07:37:10.595,teacher,production,,ឧបករណ៍តេស្ត លេខ២,Yes,,,,false,,
489,408,26,baseline,math,subtraction,,2025-11-16 17:00:00,82,false,false,,2025-11-01 07:39:12.416,2025-11-01 07:39:12.416,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
488,403,24,baseline,language,letter,,2025-11-16 17:00:00,85,false,false,,2025-11-01 07:37:37.361,2025-11-01 07:37:37.361,teacher,production,,ឧបករណ៍តេស្ត លេខ២,Yes,,,,false,,
494,560,44,baseline,math,word_problems,,2025-11-14 09:05:15.312,60,false,false,,2025-11-14 09:06:38.345,2025-11-14 09:06:38.345,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
482,400,25,baseline,language,word,,2025-11-16 17:00:00,69,false,false,,2025-11-01 07:27:30.942,2025-11-01 07:27:30.942,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
483,405,25,baseline,language,letter,,2025-11-16 17:00:00,69,false,false,,2025-11-01 07:31:51.793,2025-11-01 07:31:51.793,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
490,413,2,baseline,math,subtraction,,2025-11-16 17:00:00,54,false,false,,2025-11-01 07:41:29.863,2025-11-01 07:41:29.863,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
484,404,24,baseline,language,paragraph,,2025-11-16 17:00:00,85,false,false,,2025-11-01 07:31:57.334,2025-11-01 07:31:57.334,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
485,407,21,baseline,language,word,,2025-11-16 17:00:00,66,false,false,,2025-11-01 07:32:38.367,2025-11-01 07:32:38.367,teacher,production,,ឧបករណ៍តេស្ត លេខ១,Yes,,,,false,,
491,407,21,endline,language,comprehension2,,2026-02-01 17:00:00,66,false,false,,2025-11-01 07:43:14.268,2025-11-01 07:43:14.268,teacher,production,,ឧបករណ៍តេស្ត លេខ២,Yes,,,,false,,
